UNIQUE-ID	ADD-COMPLEMENT	BIGG	SEED
CPD-7100	(2S)-2-isopropyl-3-oxosuccinic acid		
DI-H-OROTATE	(S)-dihydroorotic acid		
SHIKIMATE-5P	3-phosphoshikimic acid		
DIAMINONONANOATE	7,8-diaminononanoate	dann	
FRUCTOSE-16-DIPHOSPHATE	D-fructofuranose 1,6-bisphosphate		
L-GAMMA-GLUTAMYLCYSTEINE	L-gamma-glutamyl-L-cysteine		
MESO-DIAMINOPIMELATE	LL-2,6-diaminopimelic acid		
5-PHOSPHO-RIBOSYL-GLYCINEAMIDE	N(1)-(5-phospho-D-ribosyl)glycinamide		
N-ALPHA-ACETYLORNITHINE	N(2)-acetyl-L-ornithine		
CPD-4211	N(2)-succinyl-L-arginine		
N2-SUCCINYLGLUTAMATE	N(2)-succinyl-L-glutamic acid		
ADENYLOSUCC	N(6)-(1,2-dicarboxyethyl)-AMP		
NAD	NAD(+)		
NICOTINATE_NUCLEOTIDE	nicotinic acid D-ribonucleotide		
PANTOTHENATE	pantothenic acid		
D-SEDOHEPTULOSE-7-P	sedoheptulose 7-phosphate		
1-KETO-2-METHYLVALERATE	(2R,3R)-2,3-dihydroxy-3-methylpentanoate		
CARBAMYUL-L-ASPARTATE	N-carbamoyl-L-aspartic acid		
CPD-602	5-amino-6-(5-phospho-beta-D-ribosylamino)uracil		
3-CARBOXY-3-HYDROXY-ISOCAPROATE	(2S)-2-isopropylmalic acid		
L-ARGININO-SUCCINATE	(N(omega)-L-arginino)succinic acid		
N-SUCCINYL-2-AMINO-6-KETOPIMELATE	L-2-succinylamino-6-oxoheptanedioic acid		
5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE	2-formamido-N(1)-(5-phospho-D-ribosyl)acetamidine		
P-HYDROXY-PHENYLPYRUVATE		34hpp	
CPD-569	N-acetylputrescine	aprut	
3-HYDROXY-PROPIONATE		3hpp	
GMP	guanosine 5'-monophosphate	gmp	
ACETYL-P	acetyl dihydrogen phosphate	actp	
5-METHYL-THF	5-methyltetrahydrofolic acid	5mthf	
PRPP	5-O-phosphono-alpha-D-ribofuranosyl diphosphate	prpp	
CPD-12826		fol	
3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid	2dda7p	
PROTOHEME	heme b	pheme	
XANTHOSINE-5-PHOSPHATE	5'-xanthylic acid	xmp	
D-GLUCOSAMINE-6-P	alpha-D-glucosamine 6-phosphate	gam6p	
DCMP	2'-deoxycytosine 5'-monophosphate	dcmp	
CPD-15970	keto-D-fructose 1-phosphate	f1p	
FRU1P	keto-D-fructose 1-phosphate	f1p	
TYR	L-tyrosine		
